"#紹介文",
"#",
"#ボナンザ６．０アレンジ式きふわらべ２駒関係",
"#",
"#0～999の範囲に収まるよう、全体的な視点を持って点数を入れたい。これらの各点数マスをパラメーターと呼び、このファイルの内容はフィーチャー・ベクターと呼ぶ。",

"Version",1.0,

"#KomaWari 駒割。例えば、自分の歩が１０枚、相手の歩が８枚なら、自分が１枚得、相手が１枚損なので、差は２枚。局面評価は ここの歩の価値×2 として足し算する。",
"#Komawari そのうち、自分の駒に　と金が１枚あると、自分の歩が９枚、相手の歩が８枚となり、歩の差は＋１枚。と金の差は＋１枚。",
"#Komawari なお、駒割の点数は、実際には高い倍率（例えば３２倍ぐらい）を掛けて使われる。駒の位置をちょっと得するよりは、駒取った方が点数が高いようにする。",
"#Komawari 玉の駒割は計算で求める。 歩×18 ＋ 香×4 ＋ 桂×4 ＋ 銀×4 ＋ 金×4 ＋ 飛×2 ＋ 角×2。王を取るのが一番良い手、ぐらいの意味だろうか。",
"Komawari","(0)歩",100,
"Komawari","(1)香",800,
"Komawari","(2)桂",200,
"Komawari","(3)銀",500,
"Komawari","(4)金",600,
"Komawari","(5)玉",16600,
"Komawari","(6)飛",1600,
"Komawari","(7)角",1600,
"Komawari","(8)と金",600,
"Komawari","(9)成香",600,
"Komawari","(10)成桂",600,
"Komawari","(11)成銀",600,
"Komawari","(12)竜",2000,
"Komawari","(13)馬",2000,
