108,113,112,113,112,113,112,113,121,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,
122,127,126,127,126,127,126,127,135,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
2,2,2,2,2,2,2,2,2,
136,141,140,141,140,141,140,141,149,
138,142,143,142,143,142,143,142,148,
3,8,7,8,7,8,7,8,11,
6,9,10,9,10,9,10,9,14,
4,7,8,7,8,7,8,7,12,
5,10,9,10,9,10,9,10,13,
3,8,7,8,7,8,7,8,11,
6,9,10,9,10,9,10,9,14,
4,7,8,7,8,7,8,7,12,
15,20,19,20,19,20,19,20,28,
17,21,22,21,22,21,22,21,27,
16,22,21,22,21,22,21,22,26,
17,21,22,21,22,21,22,21,27,
16,22,21,22,21,22,21,22,26,
17,21,22,21,22,21,22,21,27,
16,22,21,22,21,22,21,22,26,
17,21,22,21,22,21,22,21,27,
18,24,23,24,23,24,23,24,25,
29,34,33,34,33,34,33,34,42,
31,35,36,35,36,35,36,35,41,
30,36,35,36,35,36,35,36,40,
31,35,36,35,36,35,36,35,41,
30,36,35,36,35,36,35,36,40,
31,35,36,35,36,35,36,35,41,
30,36,35,36,35,36,35,36,40,
31,35,36,35,36,35,36,35,41,
32,38,37,38,37,38,37,38,39,
43,48,47,48,47,48,47,48,56,
45,49,50,49,50,49,50,49,55,
44,50,49,50,49,50,49,50,54,
45,49,50,49,50,49,50,49,55,
44,50,49,50,49,50,49,50,54,
45,49,50,49,50,49,50,49,55,
44,50,49,50,49,50,49,50,54,
45,49,50,49,50,49,50,49,55,
46,52,51,52,51,52,51,52,53,
57,60,60,60,60,60,60,60,65,
58,61,61,61,61,61,61,61,64,
58,61,61,61,61,61,61,61,64,
58,61,61,61,61,61,61,61,64,
58,61,61,61,61,61,61,61,64,
58,61,61,61,61,61,61,61,64,
58,61,61,61,61,61,61,61,64,
58,61,61,61,61,61,61,61,64,
59,62,62,62,62,62,62,62,63,
66,71,70,71,70,71,70,71,79,
68,72,73,72,73,72,73,72,78,
67,73,72,73,72,73,72,73,77,
68,72,73,72,73,72,73,72,78,
67,73,72,73,72,73,72,73,77,
68,72,73,72,73,72,73,72,78,
67,73,72,73,72,73,72,73,77,
68,72,73,72,73,72,73,72,78,
69,75,74,75,74,75,74,75,76,
80,85,84,85,84,85,84,85,93,
82,86,87,86,87,86,87,86,92,
81,87,86,87,86,87,86,87,91,
82,86,87,86,87,86,87,86,92,
81,87,86,87,86,87,86,87,91,
82,86,87,86,87,86,87,86,92,
81,87,86,87,86,87,86,87,91,
82,86,87,86,87,86,87,86,92,
83,89,88,89,88,89,88,89,90,
94,99,98,99,98,99,98,99,107,
96,100,101,100,101,100,101,100,106,
95,101,100,101,100,101,100,101,105,
96,100,101,100,101,100,101,100,106,
95,101,100,101,100,101,100,101,105,
96,100,101,100,101,100,101,100,106,
95,101,100,101,100,101,100,101,105,
96,100,101,100,101,100,101,100,106,
97,103,103,103,103,103,103,103,104,
108,113,112,113,112,113,112,113,121,
110,114,115,114,115,114,115,114,120,
109,115,114,115,114,115,114,115,119,
110,114,115,114,115,114,115,114,120,
109,115,114,115,114,115,114,115,119,
110,114,115,114,115,114,115,114,120,
109,115,114,115,114,115,114,115,119,
110,114,115,114,115,114,115,114,120,
111,117,116,117,116,117,116,117,118,
122,127,126,127,126,127,126,127,135,
124,128,129,128,129,128,129,128,134,
123,129,128,129,128,129,128,129,133,
124,128,129,128,129,128,129,128,134,
123,129,128,129,128,129,128,129,133,
124,128,129,128,129,128,129,128,134,
123,129,128,129,128,129,128,129,133,
124,128,129,128,129,128,129,128,134,
125,131,130,131,130,131,130,131,132,
136,141,140,141,140,141,140,141,149,
138,142,143,142,143,142,143,142,148,
137,143,142,143,142,143,142,143,147,
138,142,143,142,143,142,143,142,148,
137,143,142,143,142,143,142,143,147,
138,142,143,142,143,142,143,142,148,
137,143,142,143,142,143,142,143,147,
138,142,143,142,143,142,143,142,148,
139,145,144,145,144,145,144,145,146,
150,155,154,155,154,155,154,155,163,
152,156,157,156,157,156,157,156,162,
151,157,156,157,156,157,156,157,161,
152,156,157,156,157,156,157,156,162,
151,157,156,157,156,157,156,157,161,
152,156,157,156,157,156,157,156,162,
151,157,156,157,156,157,156,157,161,
152,156,157,156,157,156,157,156,162,
153,159,158,159,158,159,158,159,160,
